x,parameter,value
2547.4774774774774,bottleneck_strength_domestic,3.3333333333333335e-05
2577.4474474474473,bottleneck_strength_domestic,3.3333333333333335e-05
2607.4174174174173,bottleneck_strength_domestic,3.3333333333333335e-05
2637.387387387387,bottleneck_strength_domestic,3.3333333333333335e-05
2667.357357357357,bottleneck_strength_domestic,3.3333333333333335e-05
2697.327327327327,bottleneck_strength_domestic,3.3333333333333335e-05
2727.2972972972975,bottleneck_strength_domestic,3.3333333333333335e-05
2757.2672672672675,bottleneck_strength_domestic,3.3333333333333335e-05
2787.2372372372374,bottleneck_strength_domestic,3.3333333333333335e-05
2817.2072072072074,bottleneck_strength_domestic,3.3333333333333335e-05
2847.1771771771773,bottleneck_strength_domestic,3.3333333333333335e-05
2877.1471471471473,bottleneck_strength_domestic,3.3333333333333335e-05
2907.1171171171172,bottleneck_strength_domestic,3.3333333333333335e-05
2937.087087087087,bottleneck_strength_domestic,3.3333333333333335e-05
2967.057057057057,bottleneck_strength_domestic,3.3333333333333335e-05
2997.027027027027,bottleneck_strength_domestic,3.3333333333333335e-05
3026.996996996997,bottleneck_strength_domestic,3.3333333333333335e-05
3056.966966966967,bottleneck_strength_domestic,3.3333333333333335e-05
3086.936936936937,bottleneck_strength_domestic,3.3333333333333335e-05
3116.906906906907,bottleneck_strength_domestic,3.3333333333333335e-05
3146.876876876877,bottleneck_strength_domestic,3.3333333333333335e-05
3176.846846846847,bottleneck_strength_domestic,3.3333333333333335e-05
3206.8168168168168,bottleneck_strength_domestic,3.3333333333333335e-05
3236.7867867867867,bottleneck_strength_domestic,3.3333333333333335e-05
3266.7567567567567,bottleneck_strength_domestic,3.3333333333333335e-05
3296.7267267267266,bottleneck_strength_domestic,3.3333333333333335e-05
3326.6966966966966,bottleneck_strength_domestic,3.3333333333333335e-05
3356.6666666666665,bottleneck_strength_domestic,3.3333333333333335e-05
3386.6366366366365,bottleneck_strength_domestic,3.3333333333333335e-05
3416.6066066066064,bottleneck_strength_domestic,3.3333333333333335e-05
3446.5765765765764,bottleneck_strength_domestic,3.3333333333333335e-05
3476.5465465465463,bottleneck_strength_domestic,3.3333333333333335e-05
3506.5165165165167,bottleneck_strength_domestic,3.3333333333333335e-05
3536.4864864864867,bottleneck_strength_domestic,3.3333333333333335e-05
3566.4564564564566,bottleneck_strength_domestic,3.3333333333333335e-05
3596.4264264264266,bottleneck_strength_domestic,3.3333333333333335e-05
3626.3963963963965,bottleneck_strength_domestic,3.3333333333333335e-05
3656.3663663663665,bottleneck_strength_domestic,3.3333333333333335e-05
3686.3363363363364,bottleneck_strength_domestic,3.3333333333333335e-05
3716.3063063063064,bottleneck_strength_domestic,3.3333333333333335e-05
3746.2762762762763,bottleneck_strength_domestic,3.3333333333333335e-05
3776.2462462462463,bottleneck_strength_domestic,3.3333333333333335e-05
3806.2162162162163,bottleneck_strength_domestic,3.3333333333333335e-05
3836.186186186186,bottleneck_strength_domestic,3.3333333333333335e-05
3866.156156156156,bottleneck_strength_domestic,3.3333333333333335e-05
3896.126126126126,bottleneck_strength_domestic,3.3333333333333335e-05
3926.096096096096,bottleneck_strength_domestic,3.3333333333333335e-05
3956.066066066066,bottleneck_strength_domestic,3.3333333333333335e-05
3986.036036036036,bottleneck_strength_domestic,3.3333333333333335e-05
4016.006006006006,bottleneck_strength_domestic,3.3333333333333335e-05
4045.975975975976,bottleneck_strength_domestic,3.3333333333333335e-05
4075.945945945946,bottleneck_strength_domestic,3.3333333333333335e-05
4105.915915915915,bottleneck_strength_domestic,3.3333333333333335e-05
4135.885885885886,bottleneck_strength_domestic,3.3333333333333335e-05
4165.855855855856,bottleneck_strength_domestic,3.3333333333333335e-05
4195.825825825826,bottleneck_strength_domestic,3.3333333333333335e-05
4225.795795795796,bottleneck_strength_domestic,3.3333333333333335e-05
4255.7657657657655,bottleneck_strength_domestic,3.3333333333333335e-05
4285.735735735736,bottleneck_strength_domestic,3.3333333333333335e-05
4315.705705705705,bottleneck_strength_domestic,3.3333333333333335e-05
4345.675675675676,bottleneck_strength_domestic,3.3333333333333335e-05
4375.645645645645,bottleneck_strength_domestic,3.3333333333333335e-05
4405.615615615616,bottleneck_strength_domestic,3.3333333333333335e-05
4435.585585585585,bottleneck_strength_domestic,3.3333333333333335e-05
4465.555555555556,bottleneck_strength_domestic,3.3333333333333335e-05
4495.525525525525,bottleneck_strength_domestic,3.3333333333333335e-05
4525.495495495496,bottleneck_strength_domestic,3.3333333333333335e-05
4555.465465465465,bottleneck_strength_domestic,3.3333333333333335e-05
4585.4354354354355,bottleneck_strength_domestic,3.3333333333333335e-05
